iter	MultiClass
0	1.215457433
1	1.080664741
2	0.9739946542
3	0.8835643054
4	0.8023605123
5	0.7324647929
6	0.6735813478
7	0.6238820335
8	0.574363211
9	0.5314905057
10	0.4930043765
11	0.4567338116
12	0.4236759832
13	0.3954014244
14	0.3681753386
15	0.343569998
16	0.320322631
17	0.2988776635
18	0.2793265853
19	0.2613110183
20	0.2449150431
21	0.2292448309
22	0.2151873867
23	0.2022984362
24	0.1903605298
25	0.1788677805
26	0.1681237391
27	0.1579543413
28	0.1484291154
29	0.1395394023
30	0.1312786692
31	0.1236500955
32	0.1166573798
33	0.1099108195
34	0.103722211
35	0.09774966113
36	0.09243084105
37	0.08725971377
38	0.08246053223
39	0.07832080086
40	0.07394773703
41	0.07009284837
42	0.06648102293
43	0.0628425449
44	0.05936759497
45	0.05654267907
46	0.05351575487
47	0.0508201724
48	0.0482489356
49	0.04577527767
50	0.04377079125
51	0.04146502989
52	0.03928877785
53	0.03732762062
54	0.03538953744
55	0.03378119566
56	0.03226450123
57	0.03073089838
58	0.02934734572
59	0.02813383973
60	0.02705194865
61	0.02574167455
62	0.02467912385
63	0.02352443625
64	0.02245434159
65	0.02151961179
66	0.02062722097
67	0.01995074724
68	0.01925865652
69	0.01850748696
70	0.01794573537
71	0.01730832605
72	0.01672554969
73	0.01608545742
74	0.01538060614
75	0.01489861278
76	0.01434873636
77	0.01393694352
78	0.01360203333
79	0.0131620994
80	0.01269569337
81	0.01230680664
82	0.01191067727
83	0.01161879635
84	0.01121698466
85	0.01107333081
86	0.01078263732
87	0.01048860841
88	0.01046386969
89	0.01013258466
90	0.009843963001
91	0.009532310309
92	0.009521886773
93	0.009269436119
94	0.00896212368
95	0.008723496643
96	0.008461909154
97	0.008272014614
98	0.00809678699
99	0.007945883909
100	0.007717827633
101	0.007507929506
102	0.007321075856
103	0.007179293822
104	0.00704581995
105	0.00689704476
106	0.006706401801
107	0.006547754307
108	0.006398238708
109	0.006285281132
110	0.006184844739
111	0.006083393152
112	0.006072189021
113	0.005941837362
114	0.005814084836
115	0.005684820455
116	0.005606127939
117	0.005505255168
118	0.005373546183
119	0.005284262362
