latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,confidence,version,bright_ti5,frp,daynight
8.63436,80.88433,331.48,0.47,0.4,2026-08-21,0813,N20,nominal,2.0NRT,289.09,3.77,D
8.64849,80.93053,335.51,0.48,0.4,2026-08-21,0813,N20,nominal,2.0NRT,290.99,4.5,D
8.64583,80.86079,330.48,0.47,0.4,2026-08-21,0813,N20,nominal,2.0NRT,290.57,3.13,D
8.57728,80.39062,334.26,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,295.69,2.58,D
8.5921,80.41743,335.39,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,294.75,5.47,D
8.62151,80.56802,333.46,0.46,0.39,2026-08-21,0813,N20,nominal,2.0NRT,293.22,5.67,D
8.67372,80.8481,336.86,0.47,0.4,2026-08-21,0813,N20,nominal,2.0NRT,287.46,5.05,D
8.65934,80.75034,336.51,0.47,0.39,2026-08-21,0813,N20,nominal,2.0NRT,291.89,8.34,D
8.63388,80.50316,341.24,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,296.99,9.4,D
8.6327,80.50378,340.13,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,296.07,10.29,D
8.62816,80.42091,336.43,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,296.27,3.55,D
8.69668,80.87614,336.78,0.47,0.4,2026-08-21,0813,N20,nominal,2.0NRT,292.17,12.49,D
8.64303,80.39797,345.49,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,296.92,6.64,D
8.65015,80.39697,349.14,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,298.64,14.24,D
8.73579,80.70982,334.74,0.47,0.39,2026-08-21,0813,N20,nominal,2.0NRT,291.67,3.67,D
8.77769,80.89527,336.49,0.48,0.4,2026-08-21,0813,N20,nominal,2.0NRT,290.91,5.52,D
8.81707,80.9616,330.46,0.48,0.4,2026-08-21,0813,N20,nominal,2.0NRT,296.26,2.87,D
8.84226,81.00699,336.37,0.48,0.4,2026-08-21,0813,N20,nominal,2.0NRT,298.74,5.59,D
8.82792,80.85413,346.27,0.47,0.4,2026-08-21,0813,N20,nominal,2.0NRT,297.93,34.32,D
8.7748,80.40866,338.21,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,291.53,4.07,D
8.84024,80.43268,335.06,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,290.78,2.76,D
8.83919,80.43325,336.79,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,291.22,4.39,D
8.81027,80.05561,338.75,0.44,0.38,2026-08-21,0813,N20,nominal,2.0NRT,288.84,3.93,D
8.6787,78.06282,340.22,0.39,0.36,2026-08-21,0813,N20,nominal,2.0NRT,305,2.79,D
9.24991,80.27066,335.37,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,295.21,6.57,D
9.24923,80.27115,337.79,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,295.55,6.26,D
9.3411,78.81241,343.64,0.4,0.37,2026-08-21,0813,N20,nominal,2.0NRT,307.32,6.08,D
9.34447,78.8119,345.55,0.4,0.37,2026-08-21,0813,N20,nominal,2.0NRT,309.19,6.08,D
9.36586,78.66449,340.59,0.4,0.37,2026-08-21,0813,N20,nominal,2.0NRT,308.73,6.32,D
9.36532,78.66089,339.1,0.4,0.37,2026-08-21,0813,N20,nominal,2.0NRT,308.58,6.32,D
9.39964,78.7998,334.22,0.4,0.37,2026-08-21,0813,N20,low,2.0NRT,305.01,1.97,D
9.63787,80.28299,334.96,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,297.98,4.24,D
9.56629,78.77435,335.88,0.4,0.37,2026-08-21,0813,N20,nominal,2.0NRT,299,5.18,D
9.78254,80.18781,330.27,0.45,0.39,2026-08-21,0813,N20,nominal,2.0NRT,294.88,3.21,D
9.46111,77.93867,345.08,0.39,0.36,2026-08-21,0813,N20,nominal,2.0NRT,304.15,3.24,D
9.46058,77.93517,338.91,0.39,0.36,2026-08-21,0813,N20,nominal,2.0NRT,302.82,3.24,D
9.55428,78.28836,348.21,0.39,0.36,2026-08-21,0813,N20,nominal,2.0NRT,310.48,8.67,D
9.57572,78.31776,338.87,0.39,0.36,2026-08-21,0813,N20,nominal,2.0NRT,307.25,5.01,D
9.57466,78.31066,340.16,0.39,0.36,2026-08-21,0813,N20,nominal,2.0NRT,307.06,4.64,D
9.57799,78.31016,340.05,0.39,0.36,2026-08-21,0813,N20,nominal,2.0NRT,306.7,4.79,D
9.6873,78.11195,334.47,0.39,0.36,2026-08-21,0813,N20,low,2.0NRT,306.88,1.97,D
9.63681,77.75274,340.17,0.39,0.36,2026-08-21,0813,N20,low,2.0NRT,311.74,7.12,D
9.83491,78.12406,330.57,0.39,0.36,2026-08-21,0813,N20,low,2.0NRT,300.74,2.45,D
9.91944,78.34734,343.05,0.39,0.36,2026-08-21,0813,N20,nominal,2.0NRT,303.09,3.79,D
9.91726,77.88062,340.62,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,308.69,4.56,D
9.94108,77.94887,338.99,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,303.92,3.52,D
10.00594,78.04284,331.05,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,295.84,1,D
9.91187,77.39479,333.92,0.38,0.36,2026-08-21,0816,N20,nominal,2.0NRT,302.13,1.93,D
10.04691,77.9536,333.39,0.39,0.36,2026-08-21,0816,N20,low,2.0NRT,303.77,6.6,D
10.05023,77.95309,347.01,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,303.4,6.6,D
10.0497,77.94958,347.7,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,305.64,6.6,D
10.40833,77.98684,340.67,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,298.48,3.38,D
10.42592,77.87876,341.73,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,308.81,7.37,D
10.40083,77.59858,336.57,0.39,0.36,2026-08-21,0816,N20,nominal,2.0NRT,306.1,2.3,D
10.84437,78.89214,337.08,0.41,0.37,2026-08-21,0816,N20,nominal,2.0NRT,303.04,1.88,D
10.82362,78.51756,333.02,0.4,0.37,2026-08-21,0816,N20,low,2.0NRT,305.17,2.64,D
10.86226,78.60471,335.58,0.4,0.37,2026-08-21,0816,N20,low,2.0NRT,306.96,5.59,D
10.90676,78.79072,337.1,0.41,0.37,2026-08-21,0816,N20,low,2.0NRT,308.57,3.79,D
10.8966,78.69748,336.22,0.41,0.37,2026-08-21,0816,N20,low,2.0NRT,306.77,3.04,D
